Siralim Ultimate,,Version 1.0.4,,Please send any corrections and screenshots of new entries to me on Discord. EmptyPalms#9402,
Backer,Backer,Backer Trait,Frozen Legion,"After your creatures Attack an enemy with Frozen, they gain 1 stack of Zombies. This trait does not stack.",Meat Popsicle
Backer,Backer,Backer Trait,Gambler's Game,"At the start of each creature's turn, it has a 50% chance to gain a random debuff. Otherwise, it gains a random trait. This trait does not stack.",Riskium
Backer,Backer,Backer Trait,Gem Leech,"After this creature Attacks, it Casts one of the target's Spell Gems.",Crystalline Bloodsucker
Backer,Backer,Backer Trait,Glitch In The System,"When a creature would gain a buff, it is afflicted with a random debuff instead.",Fried Circuitry
Backer,Backer,Backer Trait,Guards!,"After this creature Attacks an enemy with Stone, it has a 30% chance to be killed.",Handcuffs
Backer,Backer,Backer Trait,Heads or Tails,"After this creature Attacks, it has a 50% chance to gain a random buff. Otherwise, it gains a random minion.",Lucky Coin
Backer,Backer,Backer Trait,Hederas's Grasp,"After this creature Attacks, it afflicts the target and the creatures adjacent to the target with Snared.",Bindwood
Backer,Backer,Backer Trait,Hemophilia,Enemies' Bleeding debuffs last forever and deal 25% more damage. This trait does not stack.,Bloody Rags
Backer,Backer,Backer Trait,Hidden Potential,"At the start of this creature's third turn, it recovers 100% Health and gains 100% stats (other than Health).",Self-Help Book
Backer,Backer,Backer Trait,High Risk,Your creatures deal 30% more damage and take 10% more damage for each turn they've taken in the current battle. This trait does not stack.,Drake Scale
Backer,Backer,Backer Trait,Hive,This creature has 5% more stats (other than Health) for each other creature with this trait fighting on your side.,Hivestone
Backer,Backer,Backer Trait,Hoarding,This creature has 20% more Intelligence for each different class of Spell Gem it has equipped.,Sentimental Rock
Backer,Backer,Backer Trait,Horde Limits,"After your creatures are afflicted with a debuff, they have a 20% chance to gain Immune. This trait does not stack.",Vaccine
Backer,Backer,Backer Trait,Imposter Syndrome,"At the start of battle, this creature gains stats (other than Health) equal to 10% of your other creatures' highest stats.
This creature starts battles at the bottom of the Timeline.",Shattered Mirror
Backer,Backer,Backer Trait,Improbable Catapult,"At the start of this creature's turn, enemies gain a copy of its innate trait. This trait can only activate once per side.",Trait Launcher
Backer,Backer,Backer Trait,In All Things,"At the end of this creature's turn, it gains stats equal to 20% of its highest stat.",Broken Scales
Backer,Backer,Backer Trait,Incoming Tide,"At the start of this creature's turn, it has a 50% chance to Cast Submerge.",Selene's Soul
Backer,Backer,Backer Trait,Infestation,"At the start of your creatures' turns, they gain 1 stack of Spiderlings. This trait does not stack.",Clump of Spiderlings
Backer,Backer,Backer Trait,Insight,Your creatures can attack Invisible enemies.,Lens of Insight
Backer,Backer,Backer Trait,Jiggly,This creature has 50% less Defense and 100% more Speed.,Gelatin Lump
Backer,Backer,Backer Trait,Law of the Large,This creature has additional Speed equal to 20% of its Current Health.,The Tedious Device
Backer,Backer,Backer Trait,Lion's Roar,"After this creature deals damage, it decreases the enemy's Attack and Defense by 20%.",Lion Toy
Backer,Backer,Backer Trait,Lithos Evolution,"At the start of your creatures' turns, they gain 10% Maximum Health. This trait does not stack.",Lithos Sinew
Backer,Backer,Backer Trait,Lord of Undeath,"After one of your creatures' minions go away, all your creatures gain a random minion. This trait does not stack.",Legendary Undead Fragment
Backer,Backer,Backer Trait,Love Giveth,Your creatures gain 40% more Maximum Health from stat-increasing effects. This trait does not stack.,Still-Beating Heart
Backer,Backer,Backer Trait,Mad Man,"While your creatures are below 40% Health, they have 30% more stats (other than Health). This trait does not stack.",Crazy Man's Corpse
Backer,Backer,Backer Trait,Mass Pandemic,"After an enemy takes damage from Poisoned, the potency of all enemies' Poisoned debuffs is increased by 15%. This trait does not stack.",Dice Set
Backer,Backer,Backer Trait,Mathemagic,"This creature's on-attack, on-cast, on-defend, and on-provoke effects have a 50% chance to activate 1 additional time.",Slide Rule
Backer,Backer,Backer Trait,Means to an End,"While this creature has no buffs (excluding buffs gained from Realms), it deals 75% more damage.",Empty Offering
Backer,Backer,Backer Trait,Minion Master,"At the start of this creature's turn, it gains a random minion and its current minions gain 1 stack.",Minion Master Staff
Backer,Backer,Backer Trait,Minions First,This creature has a 15% chance to take an additional turn for each minion it has. This trait can only activate once per turn.,Minion Accelerator
Backer,Backer,Backer Trait,Myosotis,This creature's attacks use Intelligence instead of Attack to determine the damage dealt. This creature has 35% less Intelligence.,Scorpion Grass
Backer,Backer,Backer Trait,Necromancy,"After a creature dies, your creatures gain 1 stack of Zombies. This trait does not stack.",Jimly's Tome
Backer,Backer,Backer Trait,Never Fade,This creature and its adjacent allies are immune to disarmed.,Broken Lantern
Backer,Backer,Backer Trait,Ninetail's Revenge,"After your creatures are Attacked, they gain Attack equal to 20% of the damage received. This trait does not stack.",Fluffy Tail
Backer,Backer,Backer Trait,Ninetail's Trickery,"At the start of battle, this creature gains a copy of each enemies' first Spell Gems. This trait does not stack.",Pristine Fox Fang
Backer,Backer,Backer Trait,Pact of Strength,Your creatures deal 5% more damage for each creature of the same class fighting on your side. This trait does not stack.,Ritual Writings
Backer,Backer,Backer Trait,Panicked Overheals,"After this creature is killed, your other creatures recover 100% Health.",Scerbonium
Backer,Backer,Backer Trait,Parity,"If your creatures have Cast an even number of spells, 30% of their Speed is added to their spells' potency.
If your creatures have Cast an odd number of spells, 30% of their Defense is added to their spells' potency. This trait does not stack.",Integerite
Backer,Backer,Backer Trait,Pedigree Safeguard,This creature intercepts attacks and single-target spells on allies that belong to its race.,Ancestral Shield
Backer,Backer,Backer Trait,Perfectly Balanced,"At the start of this creature's turn, its Health is set to 50%.",Battered Scales
Backer,Backer,Backer Trait,Perishing Salvo,"After this creature dies, it deals damage to enemies equal to 10% of its Intelligence multiplied by the Attack increases granted by its Artifact's Stat Slots.",Fading Garnet
Backer,Backer,Backer Trait,Plunder,"After this creature Attacks, it steals an amount of the target's lowest stat equal to 30% of the damage dealt.",Pirate's Treasure
Backer,Backer,Backer Trait,Pocket Frog,"At the end of this creature's turn, one of your other creatures has a 50% chance to be sent to the top of the Timeline.
This trait only activates if none of your other creatures have it.",Pocket Tadpole
Backer,Backer,Backer Trait,Power Trip,This creature has 25% more stats (other than Health) for each trait it has gained during battle.,Crown of Kings
Backer,Backer,Backer Trait,Prepared,The Timeline order is determined by your creatures' Intelligence rather than their Speed.,Mage's Playbook
Backer,Backer,Backer Trait,Providence,"While this creature has Shelled, it has 75% more Attack and Intelligence.",Blade of Divinity
Backer,Backer,Backer Trait,Rainbow Palate,This creature has 20% more stats (other than Health) for each different class of creature fighting on your side.,Prismatic Stone
Backer,Backer,Backer Trait,Rave,Your creatures deal 5% more damage for each creature of the same race fighting on your side. This trait does not stack.,Glowstick
Backer,Backer,Backer Trait,Restoration,This creature's stats are not reset after it is killed.,Rogue's Hood
Backer,Backer,Backer Trait,Rise of the Phoenix,"After your creatures with Burning are killed, they have a 25% chance to be resurrected with 20% Health. This trait does not stack.",Ash of Renewal
Backer,Backer,Backer Trait,Roll the Dice,"At the end of this creature's turn, it Casts one of its Ethereal Spell Gems.",Die Fragments
Backer,Backer,Backer Trait,Scared Stiff,"After an enemy is afflicted with Snared or Feared, this creature afflicts them with whichever of these debuffs the target doesn't already have.",Cursed Cobweb
Backer,Backer,Backer Trait,Scheming Stance,"After this creature Defends, 3 enemies are affliected with Feared.",Scheming Shield
Backer,Backer,Backer Trait,Screech of Domination,"After this creature Attacks, it gains copies of the enemy's minions.",Conch of the Siren
Backer,Backer,Backer Trait,Seed of Potentiality,"After this creature gains a stat, it gains the same amount of another stat (other than Health).
The stats gained from this trait do not activate effects that occur when stats are gained.",Ouroboros Key
Backer,Backer,Backer Trait,Seethe,This creature deals 10% more damage for each time it has taken damage in the current battle.,Stolen Pig
Backer,Backer,Backer Trait,Sharpnel Blast,"After an enemy takes damage at the start of its turn from Bomb, all other enemies take 30% of that damage as well. This trait does not stack.",Bomb Scraps
Backer,Backer,Backer Trait,Shattering Tackle,"Your creatures' attacks ignore 2.5% of the enemies' Defense for each Yeti creature fighting on your side.
This bonus is doubled if the enemy is afflicted with Frozen. This trait does not stack.",Special Snowball
Backer,Backer,Backer Trait,Snack Break,"At the start of this creature's turn, it recovers 200% Health and loses 20% Speed.",Bag of Chips
Backer,Backer,Backer Trait,Sobered Up,Your creatures can manually Cast Booze Spells.,Empty Beer Mug
Backer,Backer,Backer Trait,Soul Steal,"After this creature Attacks, its Spell Gem with the lowest number of remaining Charges gains 1 Charge.",Bloody Soul Crystal
Backer,Backer,Backer Trait,Spontaneous Entropy,"At the end of this creature's turn, its Ethereal Spell Gems are replaced with different ones.",Essence of Entropy
Backer,Backer,Backer Trait,Squadron Leader,This creature has 15% more stats (other than Health) for each minion it has.,Tactician's Manual
Backer,Backer,Backer Trait,Superfluidity,"When your creatures automatically Cast a spell, they have a 5% chance to be considered manual casts. This trait does not stack.",Lunar Dust
Backer,Backer,Backer Trait,Sustain,"After this creature deals damage, it recovers Health equal to 5% of the damage dealt.",Universal Blood
Backer,Backer,Backer Trait,Swarming Horde,Your creatures have 3% more stats (other than Health) for each creature of their same race fighting on your side. This trait does not stack.,Boon of the Swarm
Backer,Backer,Backer Trait,Swelling Ranks,"After this creature Provokes, it grants copies of one of its minions to your other creatures.",Torn Flag
Backer,Backer,Backer Trait,Sword of Will,"After this creature Attacks, and the damage exceeds 300% of the target's lowest stat, it is killed.",Non-Existent Blade
Backer,Backer,Backer Trait,Synthesis,"After your creatures gain a minion, they gain 30% of their highest stat. This trait does not stack.",Discarded Blood
Backer,Backer,Backer Trait,The Best Medicine,"When one of your creatures would be afflicted with a debuff, they have a 20% chance to afflict a random enemy with that debuff instead. This trait does not stack.",Caduceus Staff
